run_hash,instance,solver,seed,final_cost,initial_cost,improvement,improvement_pct,time_seconds,n_iterations,n_vehicles,acceptance_rate,iterations_per_second
ddcc3b7dbe2432cbf637be117cd7106ccd0c4b949d26b5d7435a9e3cba995e34,C101,alns,40,947.9000000000001,1010.4000000000001,62.5,6.185669041963578,114.60861802101135,2001,13,0.5047476261869065,17.459420020518476
4ef37af54e526d42e9d7fa112e9466e7a54848a468c038d9b275d9b5ff4d813c,C101,alns,44,886.4,1010.4000000000001,124.00000000000011,12.272367379255751,84.66356539726257,386,11,0.9870466321243523,4.559222118614916
0893ebe80e5909dc08db2e22068e8d47ad04f0b969b699a18301fca480892cb8,C101,alns,40,827.3000000000001,1010.4000000000001,183.10000000000002,18.1215360253365,120.09430599212646,272,10,0.8602941176470589,2.2648867300822126
19d18fc1de661fb968119e5a61875e54bb483fe246a26c8ccbfbe86e6abe8370,C1_2_3,simulated_annealing,42,3306.2,3410.0,103.80000000000018,3.0439882697947267,4.887833118438721,20033,24,0.9994009883691909,4098.544184012357
71b4c69924f6965bf0cea40784ec71408eba2733d99d6536ec37c76fbdd72521,C1_2_1,alns,43,3026.6,3454.0,427.4000000000001,12.374059061957155,6.496900796890259,5,22,1.0,0.7695977137888961
1801db6b19eaa510584b396267f53f77c70bc78bc0b0be0416e3cd505bc8e101,C101,simulated_annealing,42,1010.4000000000001,1010.4000000000001,0.0,0.0,0.270615816116333,1993,13,1.0,7364.684106797527
2fc365190ea8aca86f5a7f101a0c929c81db2b28b8c64cbee4f297cf5f4d67f2,C1_4_1,simulated_annealing,42,9623.4,9623.4,0.0,0.0,0.16119766235351562,315,53,1.0,1954.1226305700832
f92c57fce3a89e6fdfaf34f201b3e646003f0c6f7f4ff0bf2c65613f6bcaed2f,C102,simulated_annealing,42,1057.8,1059.8,2.0,0.1887148518588413,0.2529630661010742,1833,13,1.0,7246.117104176798
10652e0d7b6260761af10475d062d997e9faa43f7e8f433711878effd959bacc,C1_4_1,simulated_annealing,42,9623.4,9623.4,0.0,0.0,0.2534034252166748,491,53,1.0,1937.6217964700602
66683f3400d71d2b0b22b7ddac6bdb766a1cb1f8817a9679e777acbdd447b386,C101,alns,42,828.0,1010.4000000000001,182.4000000000001,18.052256532066515,120.03444051742554,270,10,0.8851851851851852,2.249354425580913
e5326a2ba9db87b488d4c3d07c4993014fa45cb25802a4552a673015fc4228ee,C101,simulated_annealing,42,1010.4000000000001,1010.4000000000001,0.0,0.0,0.06980562210083008,507,13,1.0,7263.025308587159
d9358ff2ab1458e7639a395ac755c93289655c740dfe3506a81b7e826b060134,C1_2_3,simulated_annealing,42,3326.9,3410.0,83.09999999999991,2.4369501466275634,3.370258092880249,13818,24,0.9993486756404689,4099.9827369870745
0de52ec26031eed3a374b9db1f92752328c4570a148ccc4643922a8401b78825,C1_10_1,simulated_annealing,44,56375.200000000004,56375.200000000004,0.0,0.0,12.633699417114258,10000,130,1.0,791.5337914762707
4566c5045f447468c319c37084f38a800dc4017e55143130096dc72df1797a83,C101,simulated_annealing,42,1010.4000000000001,1010.4000000000001,0.0,0.0,0.48963451385498047,3675,13,1.0,7505.598351443948
0b8eb6c2c9d5b68bb578ac0ab22074db634832250fec35fa4a834641d962887b,C101,alns,42,827.3,1010.4000000000001,183.10000000000014,18.121536025336514,120.03582334518433,1700,10,0.8505882352941176,14.16243878388994
fe41db19a83dec531b0aea1c890269c600ca9b0248b6b02539f694823bd08b58,C101,simulated_annealing,42,1010.4000000000001,1010.4000000000001,0.0,0.0,0.038353919982910156,270,13,1.0,7039.697640301365
4e2dc763548d35422bade68e190fd6db2245974cd1d35f8b52b2a7a389708c55,C101,alns,40,852.2000000000002,1010.4000000000001,158.19999999999993,15.657165479018204,120.44597840309143,269,11,0.9330855018587361,2.233366390198178
96dd6e4d3ce2d9a68abd6d6210db992352bb973f6bfcee0751357844470b9471,C102,simulated_annealing,42,1057.8,1059.8,2.0,0.1887148518588413,0.21361851692199707,1535,13,1.0,7185.70666119036
34fbd4a981fd8591f2464db8549a5faec40f835aae31297a5692b3615c3dcbc2,C1_4_1,simulated_annealing,43,9556.9,9623.4,66.5,0.6910239624249226,9.773175477981567,18856,52,1.0,1929.3626766941352
eeffd5d7df90708fe6bbbc8887c3e934af0dbd04f2d168f1972dd76bf36dc68d,C101,alns,41,827.3,1010.4000000000001,183.10000000000014,18.121536025336514,120.01296210289001,1670,10,0.9107784431137724,13.915163585148983
3f2cc3295ae04b4fd4ff17f2519e79a7199ccfc51f9f83243a1bb06fd0a3af5f,C1_6_1,simulated_annealing,42,18485.399999999994,18485.399999999994,0.0,0.0,3.0145034790039062,3997,79,1.0,1325.9231670619083
371a9dc4f4c1997bb1c5d770a8c14e095259f8e52cd283387b5718d55d07a735,C101,alns,43,897.9,1010.4000000000001,112.50000000000011,11.134204275534453,153.3016438484192,664,11,0.9819277108433735,4.331329940966233
da5999b78b371264f1039dbe13765f1965e5a30bf8611ecf0a1c1b80ffd13337,C101,simulated_annealing,42,1010.4000000000001,1010.4000000000001,0.0,0.0,0.13851284980773926,1026,13,1.0,7407.255005034726
117d09c5d11487d532599f4df96d825f00bc725e29189af140513876c3457b54,C1_2_1,alns,46,3103.3000000000006,3454.0,350.69999999999936,10.153445280833798,240.8061237335205,143,23,0.986013986013986,0.5938387188120093
a13681d94f07af217631982e44de941088f5b63d90dbc6adf8775998cdb33280,C1_2_3,simulated_annealing,42,3406.6,3410.0,3.400000000000091,0.09970674486803786,0.07013392448425293,270,24,1.0,3849.7774363193193
d12cd6e10c67018f86316a8c9d844c3e683746bec78dd2bda01cbd18a6f4cc55,C101,simulated_annealing,44,1010.4000000000001,1010.4000000000001,0.0,0.0,0.13658452033996582,1000,13,1.0,7321.473894047064
bd9fbc6988452982698976d70384fdfcf74c676a882362b9a51266fc36cf8a20,C1_2_3,simulated_annealing,42,3406.6,3410.0,3.400000000000091,0.09970674486803786,0.07867002487182617,315,24,1.0,4004.0663583520727
d27944b35af7c3f81526ca9b103bcf7e320ae31ca1231b89586351d9243a5c0f,R101,simulated_annealing,42,1855.6,1954.5,98.90000000000009,5.060117677155287,9.13194990158081,50000,27,0.99678,5475.281899142331
13cc25d3d66ab2a6aaa04c8443ad034327d45147dd977a4b4baf56a5e9dd6718,C1_6_1,simulated_annealing,42,18485.399999999994,18485.399999999994,0.0,0.0,2.825727939605713,3675,79,1.0,1300.5498330149894
7d64033bb2390565a133cdbabf7428151b1748ce6b9ea7a65d778b49ef9c168a,C1_4_1,simulated_annealing,46,9623.3,9623.4,0.1000000000003638,0.0010391337780863708,6.516227960586548,12505,53,1.0,1919.0550231877373
52be1b51a5b8992fd9b762da4a070a0089c2e8d282c6eafd608568d3240c132d,R101,simulated_annealing,58,1946.6000000000001,1954.5,7.899999999999864,0.4041954464057234,0.6085546016693115,3130,28,0.9971246006389777,5143.334700640126
69f3d00e760fa9c3af63935df18dd8acabe15291de8394a17cb101d7be26718c,C101,alns,0,827.3,1010.4000000000001,183.10000000000014,18.121536025336514,1106.9616904258728,5000,10,0.8814,4.5168681475114
22e6ef6b4076b90e2e569cc6941cafc97cfdfe00e07b851cccd703cb0a190948,C101,alns,41,827.3,1010.4000000000001,183.10000000000014,18.121536025336514,120.86582231521606,135,10,0.9185185185185185,1.1169410625273557
92d8a9eafeb4c07effa18d617b20fbb809d483979e8f0d415da72589cd9b02ef,C101,simulated_annealing,42,1010.4000000000001,1010.4000000000001,0.0,0.0,0.08474087715148926,605,13,1.0,7139.41158431079
553eeae24de9683ab7a8a1242249840fae275c6eeba2974750d82f905e27d642,C1_2_3,simulated_annealing,42,3404.2999999999997,3410.0,5.700000000000273,0.16715542521994936,0.26021552085876465,1026,24,1.0,3942.8854843630747
76d1ab6b2a5fb1f93b4d99988f05a1518de956d07fb2b96f8830950696b805d8,C101,alns,45,827.3,1010.4000000000001,183.10000000000014,18.121536025336514,134.2021152973175,598,10,0.9816053511705686,4.455965531356666
603094c5e74451860be57dca3928fc8f5a8b51af565a45ea0284e71faa7b1771,C1_2_1,alns,47,2995.9,3454.0,458.0999999999999,13.262883613202082,240.50785422325134,137,23,0.9562043795620438,0.5696279667974161
d046ba44a0991b955c84d5dde8908db7479b13480b1e4443d051d0a70bd84c23,C1_4_1,alns,48,8782.9,9623.4,840.5,8.733919404784173,253.88595294952393,17,46,0.8235294117647058,0.0669591988154612
a8cb5e5621b0f91b299513da0b49e112b29d472bff7096dfe60a834124a0c094,C1_6_1,simulated_annealing,42,18485.399999999994,18485.399999999994,0.0,0.0,0.38559603691101074,508,79,1.0,1317.4409261816093
d92a465f781b5efa37a21287dff385e40e047d6a7a625ae36534c63182fa6d9f,C101,simulated_annealing,42,1007.9000000000001,1010.4000000000001,2.5,0.24742676167854313,2.362239122390747,17719,13,1.0,7500.934106140433
929ef62e320db8b3044dd71517175ed9b0b44c97c68a313139786a5213dad5ad,C101,alns,42,827.3,1010.4000000000001,183.10000000000014,18.121536025336514,120.0525906085968,131,10,0.6564885496183206,1.0911884477953053
371a9dc4f4c1997bb1c5d770a8c14e095259f8e52cd283387b5718d55d07a735,C101,alns,43,882.9000000000001,1010.4000000000001,127.5,12.618764845605698,105.0194342136383,455,12,0.9846153846153847,4.3325314348428625
9750b3b12e0c1972c36cb0ee668f5a7b47d34bb00146cb1980b9eac1f46d9327,C1_4_1,simulated_annealing,42,9623.4,9623.4,0.0,0.0,0.15557408332824707,301,53,1.0,1934.7695551894562
270efb64165da871847734c03b4bbb762e43976549dee319fc583a8d49f294d9,C101,alns,42,827.3,1010.4000000000001,183.10000000000014,18.121536025336514,120.02251291275024,1707,10,0.8734622144112478,14.222331782378985
f3cbdb5cc2e3a9951c373c220a7300e70f61ae8514c7d53af8da342e5af14f01,C101,alns,42,827.3,1010.4000000000001,183.10000000000014,18.121536025336514,120.2798900604248,134,10,0.8656716417910447,1.114068194880147
a30026d4e719934616931c0a1079a904afce830cc9354b4672674eb293016f2d,C101,simulated_annealing,56,1010.4000000000001,1010.4000000000001,0.0,0.0,0.1346139907836914,1000,13,1.0,7428.648346120876
